timestamp,market_title,side,consensus,consensus_count,bet_size_usd,entry_price,status,pnl,link,condition_id,resolved_at,outcome
2025-12-12T03:29:30.977931,Clippers vs. Rockets,YES (Rockets to win),6 out of 6 models agreed,6,500.0,0.5,OPEN,0.0,https://polymarket.com/event/nba-lac-hou-2025-12-11,nba-lac-hou-2025-12-11,,
2025-12-12T03:35:10.949977,Hawks vs. Pistons,NO (Pistons to win),5 out of 5 models agreed,5,475.0,0.5,OPEN,0.0,https://polymarket.com/event/nba-atl-det-2025-12-12,nba-atl-det-2025-12-12,,
2025-12-12T04:04:06.416026,Cavaliers vs. Wizards,YES,5 out of 5 models agreed,5,451.25,0.5,OPEN,0.0,https://polymarket.com/event/nba-cle-was-2025-12-12,nba-cle-was-2025-12-12,,
2025-12-12T04:09:53.378213,Will Levante UD win on 2025-12-14?,NO,5 out of 5 models agreed,5,428.6875,0.5,OPEN,0.0,https://polymarket.com/event/lal-lev-vil-2025-12-14,lal-lev-vil-2025-12-14,,
2025-12-12T04:20:36.534696,Will Google Gemini 3 score at least 40% on Humanity's Last Exam by January 31?,YES,5 out of 5 models agreed,5,407.253125,0.5,OPEN,0.0,https://polymarket.com/event/google-gemini-3-score-on-humanitys-last-exam-by-january-31,google-gemini-3-score-on-humanitys-last-exam-by-january-31,,
2025-12-12T04:26:16.780145,Will Arsenal FC win on 2025-12-13?,YES,5 out of 5 models agreed,5,386.89046875,0.5,OPEN,0.0,https://polymarket.com/event/epl-ars-wol-2025-12-13,epl-ars-wol-2025-12-13,,
2025-12-12T04:37:00.091453,Will Trump release the Epstein files by December 19?,YES,5 out of 5 models agreed,5,367.5459453125,0.5,OPEN,0.0,https://polymarket.com/event/will-trump-release-epstein-files-by,will-trump-release-epstein-files-by,,
2025-12-12T04:37:00.118999,"Will Elon Musk post 500+ tweets from December 5 to December 12, 2025?",NO,5 out of 5 models agreed,5,349.168648046875,0.5,OPEN,0.0,https://polymarket.com/event/elon-musk-of-tweets-december-5-december-12,elon-musk-of-tweets-december-5-december-12,,
2025-12-12T04:42:43.103458,Will the next US x Venezuela military engagement occur on December 13?,NO,5 out of 5 models agreed (OpenAI NO_TRADE treated as leaning NO),5,331.7102156445312,0.5,OPEN,0.0,https://polymarket.com/event/next-us-x-venezuela-military-engagement-on,next-us-x-venezuela-military-engagement-on,,
2025-12-12T04:42:43.110822,Will the next US x Venezuela military engagement occur on December 19?,NO,5 out of 5 models agreed (OpenAI NO_TRADE treated as leaning NO),5,315.1247048623047,0.5,OPEN,0.0,https://polymarket.com/event/next-us-x-venezuela-military-engagement-on,next-us-x-venezuela-military-engagement-on,,
